TradingDate,TradingTime,OpenPrice,ClosePrice,HighPrice,LowPrice,Change,Volume,sma5,sma10,sma20,sma30,sma60,BOLLupper,BOLLmiddle,BOLLlower,MACD_macd,MACD_macdsignal,MACD_macdhist,rsi,cci,WR,KDJk,KDJd,KDJj,volumeRatio,ChangeRatio,label
20220104,20:00.0,4863.4,4860,4864.2,4859.4,-2,25,4858.2,4858.88,4867.24,4873.693333,4891.7,4865.556806,4859.401483,4853.24616,-8.517723261,-9.135116443,0.617393182,36.0187394,-13.03335919,-59.45945946,79.97364954,69.11843068,101.6840872,26.56164384,-0.0003,0
20220104,21:00.0,4860.4,4855,4860.4,4855,-5,30,4858.64,4857.78,4865.89,4872.466667,4890.62,4862.62235,4857.934322,4853.246295,-8.442256603,-8.996544475,0.554287872,31.97769773,-61.78367422,-81.98198198,62.4933546,73.60816402,40.26373576,26.57337884,0.0003,0
20220104,22:00.0,4855.8,4853.4,4857.2,4852.8,-1.6,29,4857.6,4856.78,4864.53,4871.346667,4889.543333,4862.717006,4856.422882,4850.128757,-8.414557579,-8.880147096,0.465589517,30.78735543,-86.96374779,-88.78504673,30.91440723,57.79380379,-22.84438589,26.58163265,0.0003,0
20220104,23:00.0,4854,4857,4857,4853,3.6,18,4857.48,4856.88,4863.21,4870.2,4888.52,4862.927655,4856.615254,4850.302854,-8.009784184,-8.706074514,0.69629033,36.51363246,-62.9440986,-71.15384615,20.46783626,37.9585327,-14.51355662,26.55254237,0.0002,0
20220104,24:00.0,4858.2,4859.6,4863,4858,2.6,19,4857,4857.2,4862.13,4869.16,4887.556667,4862.726418,4857.61017,4852.493921,-7.393967031,-8.443653017,1.049685986,40.35193166,40.05722461,-49.41176471,33.91812865,28.43345738,44.8874712,26.52702703,-0.0003,0
20220104,25:00.0,4859.8,4863.4,4864.2,4859.8,3.8,16,4857.68,4857.94,4861.32,4868.24,4886.67,4866.60371,4859.540113,4852.476516,-6.524093569,-8.059741128,1.535647558,45.53482402,113.1887986,-17.33333333,63.15789474,39.18128655,111.1111111,26.49158249,-0.0002,0
20220104,26:00.0,4863,4861.6,4863,4858.8,-1.8,15,4859,4858.82,4860.79,4867.36,4885.76,4867.260376,4860.226742,4853.193109,-5.911809876,-7.630154877,1.718345001,43.60215557,93.22067994,-19.6969697,76.60818713,57.89473684,114.0350877,26.45302013,-0.0002,0
20220104,27:00.0,4860.2,4858.8,4860.2,4857.6,-2.8,15,4860.08,4858.84,4860.38,4866.466667,4884.81,4864.195304,4859.751161,4855.307019,-5.588091201,-7.221742142,1.633650941,40.70773993,24.59048747,-40.90909091,73.98705096,71.25104428,79.45906433,26.41471572,0,0
20220104,28:00.0,4858.2,4856.8,4858.2,4855,-2,32,4860.04,4858.76,4859.63,4865.593333,4883.843333,4863.323931,4858.767441,4854.210951,-5.430327667,-6.863459247,1.43313158,38.73005243,-39.86111111,-56.06060606,49.51463804,66.70329205,15.13733004,26.43333333,-0.0003,0
20220104,29:00.0,4857.8,4857.6,4859.8,4857.6,0.8,22,4859.64,4858.32,4858.94,4864.813333,4882.926667,4863.35118,4858.378294,4853.405407,-5.181022018,-6.526971801,1.345949783,39.98601818,6.624383369,-50,33.20393375,52.23520758,-4.858613926,26.41860465,0.0001,0
