,value,trade_price,position_value,cash,signal
2022-02-08 11:27:00,979488.0500799997,4515.2,0.0,979488.0500799997,-1
2022-02-08 11:28:00,979292.8033599997,4519.6,976233.6000000001,3059.2033599995775,1
2022-02-08 11:29:00,979292.8033599997,4525.2,976233.6000000001,3059.2033599995775,1
2022-02-08 11:30:00,979292.8033599997,4524.8,976233.6000000001,3059.2033599995775,1
2022-02-08 13:01:00,979292.8033599997,4521.0,976233.6000000001,3059.2033599995775,1
2022-02-08 13:02:00,980177.3406399997,4524.6,0.0,980177.3406399997,-1
2022-02-08 13:03:00,980177.3406399997,4525.4,0.0,980177.3406399997,-1
2022-02-08 13:04:00,980177.3406399997,4519.2,0.0,980177.3406399997,-1
2022-02-08 13:05:00,980177.3406399997,4517.0,0.0,980177.3406399997,-1
2022-02-08 13:06:00,979981.9988799997,4521.8,976708.8,3273.1988799996907,1
2022-02-08 13:07:00,978750.0644799997,4517.0,0.0,978750.0644799997,-1
2022-02-08 13:08:00,978750.0644799997,4517.0,0.0,978750.0644799997,-1
2022-02-08 13:09:00,978750.0644799997,4522.0,0.0,978750.0644799997,-1
2022-02-08 13:10:00,978750.0644799997,4527.0,0.0,978750.0644799997,-1
2022-02-08 13:11:00,978750.0644799997,4533.6,0.0,978750.0644799997,-1
2022-02-08 13:12:00,978750.0644799997,4539.0,0.0,978750.0644799997,-1
2022-02-08 13:13:00,978750.0644799997,4540.6,0.0,978750.0644799997,-1
2022-02-08 13:14:00,978554.8272799997,4540.4,976185.9999999999,2368.827279999852,1
2022-02-08 13:15:00,978554.8272799997,4545.4,976185.9999999999,2368.827279999852,1
2022-02-08 13:16:00,979262.4094799999,4544.6,0.0,979262.4094799999,-1
2022-02-08 13:17:00,979262.4094799999,4541.2,0.0,979262.4094799999,0
2022-02-08 13:18:00,979262.4094799999,4542.6,0.0,979262.4094799999,-1
2022-02-08 13:19:00,979262.4094799999,4542.6,0.0,979262.4094799999,-1
2022-02-08 13:20:00,979262.4094799999,4539.2,0.0,979262.4094799999,0
2022-02-08 13:21:00,979262.4094799999,4543.4,0.0,979262.4094799999,0
2022-02-08 13:22:00,979262.4094799999,4551.2,0.0,979262.4094799999,0
2022-02-08 13:23:00,979262.4094799999,4552.2,0.0,979262.4094799999,0
2022-02-08 13:24:00,979262.4094799999,4550.6,0.0,979262.4094799999,-1
2022-02-08 13:25:00,979066.81968,4548.6,977949.0000000001,1117.8196799998404,1
2022-02-08 13:26:00,979066.81968,4546.2,977949.0000000001,1117.8196799998404,1
2022-02-08 13:27:00,978464.8196799998,4545.8,977347.0,1117.8196799998404,0
2022-02-08 13:28:00,978312.3416799998,4546.0,0.0,978312.3416799998,-1
2022-02-08 13:29:00,978312.3416799998,4545.2,0.0,978312.3416799998,-1
2022-02-08 13:30:00,978312.3416799998,4548.2,0.0,978312.3416799998,-1
